"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V121","ground0","-0.517382759569336","-2.04003249989408","1.5976023112286","0.918673095119819","Pollock","antsin"
"V131","ground3","-0.595790192833777","-2.92671945247701","2.84896007775878","1.49089729618304","Pollock","antsin"
"V141","ground4","-0.577590592461101","-2.90723572516073","2.91541098390574","1.50357370545656","Pollock","antsin"
"V151","epi","-0.112019223195319","-0.36091802572216","0.148932524380156","0.129186333682901","Pollock","antsin"
"V161","bark","-0.033931670067128","-0.28667026153168","0.230134237497394","0.13251857792133","Pollock","antsin"
"V18","intercept","-2.60288683540532","-3.23523105661212","-2.17626656734267","0.265991798923035","Pollock","astfer"
"V22","diam","0.337231693463533","0.140288529297705","0.556608036501187","0.10680257594229","Pollock","astfer"
"V32","dc0","-0.394780997853285","-1.95089936198704","0.876087176078193","0.760093709412449","Pollock","astfer"
"V42","dc1","0.350106399209837","-3.54386071510231","3.39107319958888","1.97213080374474","Pollock","astfer"
"V52","dc2","0.727083014427831","-2.75753855129646","3.44854472500231","1.74314094333933","Pollock","astfer"
"V62","dc3","0.780947644700398","-2.69616528072931","3.46961796862773","1.75237843174846","Pollock","astfer"
"V72","dc4","0.497895088271752","-1.6795344605215","2.23782286285242","1.10903111252674","Pollock","astfer"
"V82","dc5","-2.44904310332785","-7.71832809536101","0.192870394053937","2.18133223188112","Pollock","astfer"
"V92","quality0","1.09790044781128","-2.13184745354246","3.53393227233635","1.52568012379045","Pollock","astfer"
"V102","quality3","1.58361554881994","-3.54590791995218","5.2402596271461","2.36978688267213","Pollock","astfer"
"V112","quality4","1.8706965857379","-3.63947350885756","5.9477084391354","2.60601665525835","Pollock","astfer"
"V122","ground0","-0.527276364436078","-2.23998100487408","1.88125221307149","1.02913399880176","Pollock","astfer"
"V132","ground3","-0.581765589058879","-3.15427343816656","3.35852109086593","1.66725177597105","Pollock","astfer"
"V142","ground4","-0.56418514072747","-3.13864209441751","3.42686562044399","1.67661781777967","Pollock","astfer"
"V152","epi","-0.081769063641136","-0.302431194210082","0.146073166880051","0.116589982802283","Pollock","astfer"
"V162","bark","0.00716823099459531","-0.240760696206495","0.267171264589412","0.131473883015688","Pollock","astfer"
"V19","intercept","-2.13104432119358","-2.66055336797114","-1.79192532882491","0.226322235137852","Pollock","fompin"
"V23","diam","0.655172371614725","0.486079374417271","0.83881899883754","0.0925992747280484","Pollock","fompin"
"V33","dc0","-0.603275411126643","-3.07840717853656","0.689126976619591","0.878558416176994","Pollock","fompin"
"V43","dc1","0.755785803206352","-2.58958806376419","3.41816807721747","1.70426252436763","Pollock","fompin"
"V53","dc2","0.688805436259445","-2.35665164841517","3.14856707098158","1.5268034995634","Pollock","fompin"
"V63","dc3","0.670457032147767","-2.31204573564207","3.10626286396307","1.53001651587776","Pollock","fompin"
"V73","dc4","0.10060412435102","-1.93119865927621","1.70651286945601","1.00902791716601","Pollock","fompin"
"V83","dc5","-1.69980576425559","-4.32369931397638","-0.0600247156286811","1.12123255801157","Pollock","fompin"
"V93","quality0","1.15426977388632","-1.71556724536932","3.65534625657758","1.42105942259028","Pollock","fompin"
"V103","quality3","1.56082955753011","-2.85612787938967","5.26629838667258","2.18637038166829","Pollock","fompin"
