intercept,climate,blwood,conwood,chalk_limestone
1,0.725781736,0.0945,0.0223625,0
1,0.993759631,0.06793125,0.0003125,0
1,1.069254327,0.1256125,0.00061875,0.01
1,-0.012361956,0.020575,0.01761875,0
1,-1.199411241,0,0,0
1,-0.902292114,0.06700625,0.2070437,0.01
1,0.935934129,0.091975,0.01211875,0.16
1,0.963946519,0.07649375,0.00340625,0
1,-0.163754057,0.05741875,0.01143125,0
1,1.126236849,0.1353813,0.04523125,0.03
1,-0.106627561,0.04681875,0.078375,0
1,-0.73381089,0.04493125,0.04891875,0
1,-1.224325054,0.0102875,0.05944375,0.2
1,1.115388699,0.11555,0.0043,0
1,-0.852764956,0.01290625,0.0267375,0
1,0.284369066,0.08808125,0.00730625,0
1,0.795646828,0.1258438,0.00981875,0.09
1,0.778983368,0.021725,0.01496875,0
1,-0.394269424,0.037925,0.305875,0
1,-0.403984559,0,0,0
1,1.371556528,0.1507438,0.01021875,0
1,-0.25707444,0.1617188,0.0252875,0
1,1.045980569,0.00611875,0,0
1,1.235682352,0.03005625,0,0.58
1,-2.180301855,0.00011875,0.0228625,0
1,1.018249868,0.1658562,0.00378125,0
1,-1.260199693,0.04045625,0.1518563,0
1,-1.791012053,0,0,0.02
1,0.855546394,0.09736875,0.2057187,0.85
1,-1.731909562,0.0007375,0.00235,0
1,-0.53797455,0.0114125,0.1288937,0
1,-0.571965003,0.03833125,0.01309375,0
1,0.648279747,0.0617875,0.0040125,0.01
1,-0.904201338,0.03425,0.0116875,0
1,-1.224462769,0.00189375,0.002325,0
1,-1.110892089,0,0.0391625,0
1,-0.320898871,0.097575,0.02651875,0
1,-0.890348507,0.055575,0.03905,0
1,-0.294138431,0,0.00029375,0
1,0.754977219,0.04365625,0.00346875,0
1,-1.606808419,0.04024375,0.118675,0
1,-0.950980465,0.02403125,0.00925625,0.06
1,-1.460755886,0,0,0
1,-0.433699601,0.05860625,0.03815625,0
1,1.092021045,0.1390187,0.0504375,0.11
1,1.119551434,0.011375,0.00016875,0
1,0.14420696,0.06449375,0.00729375,0
1,-0.43188636,0.0290875,0.092825,0
1,0.495629436,0.08551875,0.0124875,0
1,0.738889657,0.1004937,0.02130625,0
1,-0.847682038,0,0.00018125,0
1,-1.003518563,0,0.0030875,0
1,0.873130038,0.1284125,0.00825625,0.92
1,0.90286386,0.135775,0.0350375,0.21
1,0.156964335,0.1721812,0.0514375,0.96
1,-1.321057001,0,0.0061375,0
1,-1.698269655,0.0120875,0.005275,0
1,1.597625384,0.0043625,0.00179375,0
1,0.883308394,0.1002563,0.0120875,0.66
1,-0.056274116,0.06858125,0.0543875,0
1,1.688976031,0.0042375,0,0
1,-1.838243968,0.0235125,0.09264375,0
1,-1.519230316,0,0,0
1,-0.598237182,0.07966875,0.02403125,0
1,0.830851673,0.04541875,0.0122125,0
1,-1.228249918,0.00735,0.00395,0
1,-0.96347493,0.054575,0.0463625,0
1,-0.465373946,0.00235625,0.01185,0
1,0.854325743,0.07885,0.00246875,0
1,1.009880579,0.07915625,0.0043875,0.21
1,-1.119374052,0.00061875,0.01540625,0
1,-1.64412906,0.0130875,0.0755875,0
1,1.108891076,0.1144438,0.02776875,0.06
1,-0.303194206,0.00795625,0.1920313,0
1,-1.055280452,0.001625,0.0152,0
1,0.212016767,0.0263625,0.03895625,0
1,0.879508725,0.02325,0.0055625,0
1,0.963702389,0.1210188,0.00515,0.93
1,-0.769867061,0.063175,0.1161375,0
1,-0.030527756,0.07499375,0.03580625,0
1,-1.471366165,0.02316875,0.02001875,0.01
1,0.461513787,0.09764375,0.01449375,0.78
1,0.795421477,0.02920625,0.00544375,0
