"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V16","intercept","-0.756975686729768","-0.891928434348767","-0.613334883986092","0.0727651670982292","Pollock","OBL"
"V26","Rockiness","-0.439799308221267","-0.633014440184257","-0.245184722158087","0.0980693551508742","Pollock","OBL"
"V36","Sandiness","-0.0358107578476568","-0.17915641946702","0.107666490271592","0.0718675534055097","Pollock","OBL"
"V46","VallyBotFlat","-0.2986951284382","-0.453572975545611","-0.152777667326553","0.0787161365531013","Pollock","OBL"
"V56","PPTann","-0.127482429452999","-0.300277381255217","0.0300848302897168","0.0855349757377371","Pollock","OBL"
"V66","Loaminess","0.187654950019637","0.0609031557595484","0.324038431493534","0.0678140835614117","Pollock","OBL"
"V76","cvTemp","-0.437550166323912","-0.580214729319317","-0.279027994770112","0.0762744462240797","Pollock","OBL"
"V86","T0","0.0341283490416622","-0.0574281633964461","0.121975317929363","0.0444284112615709","Pollock","OBL"
"V17","intercept","-1.97486597001288","-2.60890543288945","-1.5809373070818","0.266907380955556","Pollock","OVA"
"V27","Rockiness","-0.864885929650303","-1.89330673689949","-0.275035074937491","0.410718258271376","Pollock","OVA"
"V37","Sandiness","-0.284211714865538","-0.446423315981024","-0.120448265197581","0.0850365151146546","Pollock","OVA"
"V47","VallyBotFlat","0.2404068904667","0.0724201409642734","0.396041157713543","0.0823838596529341","Pollock","OVA"
"V57","PPTann","0.0318359912213218","-0.239263768561661","0.301870456041165","0.13833155056442","Pollock","OVA"
"V67","Loaminess","-0.208238596045997","-0.431309889985829","-0.0225848453055231","0.101825114973028","Pollock","OVA"
"V77","cvTemp","0.0837418716654329","-0.135699565753395","0.329006416445663","0.119590107598791","Pollock","OVA"
"V87","T0","0.0352731994159978","-0.0977907131305193","0.157021783536477","0.0635826933344859","Pollock","OVA"
"V18","intercept","-1.22949695908336","-1.40960623690347","-1.05229303005922","0.0958206037304963","Pollock","WIL"
"V28","Rockiness","-0.12684906771189","-0.33502845879626","0.0590088192319379","0.10160043591283","Pollock","WIL"
"V38","Sandiness","0.139121867840626","-0.027421831512411","0.317999549433664","0.091514481302373","Pollock","WIL"
"V48","VallyBotFlat","-0.25004813477975","-0.439418613540218","-0.0636043786579859","0.0973274944291102","Pollock","WIL"
"V58","PPTann","-0.256165093435201","-0.503310603188433","-0.0408636671711275","0.116228538010639","Pollock","WIL"
"V68","Loaminess","0.17000736378646","0.0162198441874001","0.323281885908648","0.077215677806414","Pollock","WIL"
"V78","cvTemp","-0.741247067612301","-0.962966430956304","-0.55029965794104","0.102346913441174","Pollock","WIL"
"V88","T0","-0.00524138583447821","-0.14879918558844","0.096086029669174","0.062820167726367","Pollock","WIL"
"V19","intercept","-2.36425371852722","-3.1484542528521","-1.81853149542165","0.34156973466809","Pollock","ALP"
"V29","Rockiness","0.871192584061854","0.625963377567572","1.15954363757117","0.133464537240152","Pollock","ALP"
"V39","Sandiness","0.21113614674736","-0.169201435499627","0.687462071605199","0.211743556884094","Pollock","ALP"
"V49","VallyBotFlat","-0.649250378127834","-1.69765806390127","0.0714105323681401","0.478760676087504","Pollock","ALP"
"V59","PPTann","0.517265939580909","0.324951476069142","0.736201886239338","0.102343024694981","Pollock","ALP"
"V69","Loaminess","-0.0119091040090709","-0.343029624020639","0.321679881941951","0.161773242838111","Pollock","ALP"
"V79","cvTemp","-0.34021139028355","-0.576611497508188","-0.117271899530652","0.115699645519446","Pollock","ALP"
"V89","T0","0.0441364477458369","-0.121269070963794","0.181316665709594","0.0748947211744346","Pollock","ALP"
"V110","intercept","-1.70559188108028","-2.07166947535284","-1.41949878223729","0.167442495347127","Pollock","VIM"
"V210","Rockiness","-0.655618654674355","-1.21218428954365","-0.242254492980871","0.250083872502229","Pollock","VIM"
"V310","Sandiness","-0.243892092666097","-0.396997859645137","-0.0879305296311718","0.0780338115899806","Pollock","VIM"
"V410","VallyBotFlat","0.0903392668225715","-0.0713756394565234","0.247357384674574","0.0800891591522361","Pollock","VIM"
"V510","PPTann","-0.0725773659916668","-0.357971250611323","0.192786036539334","0.138784864027043","Pollock","VIM"
"V610","Loaminess","-0.395032792640309","-1.05120007920045","-0.0932719155294269","0.230808571720116","Pollock","VIM"
"V710","cvTemp","-0.0995008314920801","-0.321084107449146","0.11042562971461","0.107447349013721","Pollock","VIM"
"V810","T0","0.0701372575651333","-0.04489930210083","0.19861309743188","0.0596625082854057","Pollock","VIM"
"V111","intercept","-1.3770123931923","-1.69387148014621","-1.09886335786842","0.15321740849508","Pollock","ARO.SAB"
"V211","Rockiness","-1.0142001599203","-1.476299226528","-0.638156391451812","0.215553037668207","Pollock","ARO.SAB"
"V311","Sandiness","0.124567725200864","-0.0307536218190037","0.279064939121052","0.0772146067271973","Pollock","ARO.SAB"
"V411","VallyBotFlat","0.357574064127086","0.207333545724706","0.505437986558233","0.0742887497038688","Pollock","ARO.SAB"
"V511","PPTann","-0.231246703392336","-0.549978422801358","0.0431320227947784","0.149906136366707","Pollock","ARO.SAB"
"V611","Loaminess","-0.0598256956872874","-0.200470140039208","0.0791421996202675","0.0734821669327553","Pollock","ARO.SAB"
"V711","cvTemp","-0.528317615116537","-0.738051332466259","-0.340029608726979","0.103208258439767","Pollock","ARO.SAB"
"V811","T0","0.0286771845168858","-0.100782813403826","0.137102503143869","0.0594945156321492","Pollock","ARO.SAB"
