Longitude,Latitude
-88.7750249,45.4638297
-88.6286329,45.3745537
-88.0179749,45.5054967
-87.8743129,45.4469757
-86.9307629,45.3659387
-92.4279399,44.6509917
-91.7837359,44.1920937
-91.6793739,44.4009957
-91.3711239,44.0129837
-91.1258789,44.9295287
-90.3574219,44.8143967
-90.3827969,44.1973007
-90.0650949,44.6989087
-89.8554319,44.4454137
-89.4892659,44.6134037
-89.2453309,44.7766037
-89.0520699,44.2134397
-88.9513789,44.4254667
-88.7788779,44.6191537
-87.7016689,44.0520617
-87.6425339,44.5887327
-91.0057829,43.7898747
-90.8675449,43.5329127
-90.7422119,43.3269947
-90.2094039,43.8227657
-90.3552409,43.7857987
-89.8669289,43.4457507
-89.2274789,43.5381577
-89.1280059,43.9129677
-89.0411229,43.4580257
-88.4804309,43.6162427
-88.7352209,43.4565557
-88.9008629,43.4992847
-88.3351209,43.6599137
-87.8785709,43.3759057
-90.9601049,42.8165957
-90.4357819,42.5180847
-89.9655699,42.6391427
-88.7095809,42.9178507
-88.0517639,42.6113857
-87.9862509,42.8005177
-90.5367439,45.0884697
-88.704253,44.0331367
-89.6668479,43.0002617
-91.9549099,46.6330277
-90.9078369,46.3269267
-89.2588499,46.0476047
-92.4933019,45.7427327
-91.3051159,45.8488177
-90.6226889,45.8427177
-89.1251229,45.6998027
-88.8205556,45.6577778
-91.7922969,44.7379837
-90.3147969,44.8877797
-89.5982599,44.0829597
-88.9391789,44.9221977
-87.8918599,44.1095107
-91.0779429,43.0674397
-90.6626669,43.0391137
-89.5292049,43.5621967
-88.0415409,43.8770447
-90.2112029,42.9378547
-89.1104419,42.5113107
-88.0496139,44.3429157
-88.2762261,42.9592306
-110.4156649,44.9160067
-109.1344079,44.4668237
-106.7184519,44.7890327
-104.4206459,44.4252167
-109.4431149,43.4174237
-107.4300839,43.5968807
-110.1608579,42.0737597
-108.6225589,42.1794577
-107.4436569,42.8775297
-106.1200029,42.8691687
-110.7646789,41.2728697
-106.6531979,41.2001097
-104.2862009,42.0167727
-110.7342539,44.8808077
-108.700013,44.09196
-107.4513399,44.0342197
-107.2723989,44.9582907
-106.9380789,44.3157337
-106.1303939,44.6516797
-109.6336139,43.5337167
-108.2157059,43.7997187
