latitude,longitude
-37.2414,142.4507
-37.2138,142.4304
-37.1826,142.3731
-37.1832,142.3661
-37.1948,142.3457
-37.1733,142.3398
-37.1714,142.3433
-37.1706,142.3517
-37.1748,142.3609
-37.1783,142.3683
-37.3735,142.5086
-37.3726,142.5164
-37.3729,142.5282
-37.3802,142.5472
-37.3644,142.5731
-37.3576,142.6009
-37.3578,142.6048
-37.3578,142.6084
-37.3528,142.6086
-37.3457,142.6295
-37.346,142.6335
-37.34,142.6451
-37.276878,142.344792
-37.42537,142.44925
-37.42483,142.43985
-37.42813,142.42605
-37.43055,142.42545
-37.4378,142.42523
-37.44115,142.42518
-37.44278,142.42393
-37.44583,142.42203
-37.44802,142.42147
-37.47222,142.4
-37.47837,142.39085
-37.47935,142.3858
-37.258482,142.515423
-37.296628,142.532772
-37.424216,142.449653
-37.426254,142.424668
-37.424744,142.407425
-37.151093,142.444018
-37.168252,142.436665
-37.09009,142.524666
-36.986016,142.477059
-36.956814,142.462485
-36.891487,142.410995
-36.87936,142.384993
-36.889096,142.383137
-36.901251,142.37405
-37.151657,142.503388
-37.173719,142.42479
-37.176142,142.394528
-37.245219,142.41637
-37.261133,142.561584
-37.490724,142.400292
